Business Unit,Set Id,Set Name,Answer Id,Answer Method,Answer User Id,Answered Time,Attribute,Entity Id,Entity Type Code,Instance Seq,Locale,Localized Value,Question Code,Uom Code,Value,Secondary CSV,Secondary Answer 1,Secondary Answer 2,Secondary Answer 3,Secondary Answer 4,Value Type,Session Id,Activity Id,Answer Subsite Id,Experiment Name,Is User Deactivated,Repetition,User Deactivated Reason,User Deactivated UserId,User Deactivated DateTime,Is Relative Deactivated,Relative Deactivated Reason,Relative Deactivated UserId,Relative Deactivated DateTime,Overall Deactivated Status,Planting Year,Season,Regional Hub,Product Material Id,Product Name,Product Brand,Internal Seed Material Id,Internal Seed Line Code,Internal Seed Pre-Commercial Name,Internal Seed Origin,Internal Seed Barcode,Internal SeedConstructs,Internal Seed Transgenic Events,Entry Id,Entry Deactivation Reason,Entry Rep Number,Subsite Name,Subsite Id,Site Name,Homesite Name,Plot Rep,Plot Column,Plot Range,Plot Id,Treatment Number,Treatment Id,Block Id,Variable 1 Condensed,Variable 1 Blocking Factory Only,Variable 1 Name,Variable 1 Level,Variable 1 Uom,Variable 2 Condensed,Variable 2 Blocking Factory Only,Variable 2 Name,Variable 2 Level,Variable 2 Uom,Variable 3 Condensed,Variable 3 Blocking Factory Only,Variable 3 Name,Variable 3 Level,Variable 3 Uom,Variable 4 Condensed,Variable 4 Blocking Factory Only,Variable 4 Name,Variable 4 Level,Variable 4 Uom,Treatment Description,Experiment Design,Analysis Model,Experiment Id
Plant Biotechnology,163439,2022_JAKASK_SBAA0457_ASRAtomwiseCompounds_1 L01,f9968e1f-eb8f-4531-bb49-6906f4bfd344,User Collected,JAKASK,2022-03-16T15:39:16Z,Primary Business,5050267,SET_ENTRY,C5972-I2,en-US,80,DSP,PCT,80,"User Collected,14 Days,Soybeans,Above Ground",ANSM: User Collected,TAIET: 14 Days,TAXA: Soybeans,TISTY: Above Ground,NUMBER,c5b55227-3539-4f51-8ada-08b52e57c20d,6fe33fe7-1709-40d7-aeaf-57882701ac41,2c279f57-4a8f-5796-8d9d-c602e2beb427,2022_JAKASK_SBAA0457_ASRAtomwiseCompounds_1,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,,5050267,,,,,,,,,,,10,587441,12249,"Fungicide BCS-DM10605,
Application Rate (ppm) 200,
Timing of Treatment Application Relative to Inoculum Application Date 2 days before inoculation HR,
Application Method Hand Application METHOD,
Application Volume 1 GAL_PER_AC,
Microorganisms PHAKPA,
Applied Concentration of Inoculum Carrier - Propagule per Milliliter 100000 PROP_PER_ML,
Application Rate - Inoculum Carrier in Count Per Experimental Units 2 ML_PER_EU,
Inoculation Relative to Days After Planting 14 Days DAY",FALSE,Fungicide,BCS-DM10605,,,,,,,,,,,,,,,,,,rcb,RCB BLUE,3883
Plant Biotechnology,163439,2022_JAKASK_SBAA0457_ASRAtomwiseCompounds_1 L01,ba21516f-7394-44af-a52d-664ce5374cd0,User Collected,JAKASK,2022-03-16T15:38:04Z,Primary Business,5050254,SET_ENTRY,C5972-I2,en-US,90,INFAPPDT,PCT,90,"User Collected,14 Days,Soybeans,Above Ground",ANSM: User Collected,TAIET: 14 Days,TAXA: Soybeans,TISTY: Above Ground,NUMBER,171e41f8-8f78-40eb-a6d3-da8bfe040656,6fe33fe7-1709-40d7-aeaf-57882701ac41,2c279f57-4a8f-5796-8d9d-c602e2beb427,2022_JAKASK_SBAA0457_ASRAtomwiseCompounds_1,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,,5050254,,,,,,,,,,,9,587440,12249,"Fungicide BCS-DM10605,
Application Rate (ppm) 50,
Timing of Treatment Application Relative to Inoculum Application Date 2 days before inoculation HR,
Application Method Hand Application METHOD,
Application Volume 1 GAL_PER_AC,
Microorganisms PHAKPA,
Applied Concentration of Inoculum Carrier - Propagule per Milliliter 100000 PROP_PER_ML,
Application Rate - Inoculum Carrier in Count Per Experimental Units 2 ML_PER_EU,
Inoculation Relative to Days After Planting 14 Days DAY",FALSE,Fungicide,BCS-DM10605,,,,,,,,,,,,,,,,,,rcb,RCB BLUE,12684
Plant Biotechnology,163439,2022_JAKASK_SBAA0457_ASRAtomwiseCompounds_1 L01,eb29c909-9ee4-42af-ab0a-cedfe876b504,User Collected,JAKASK,2022-03-16T15:33:29Z,Primary Business,5050216,SET_ENTRY,C5972-I2,en-US,80,DSP,PCT,80,"User Collected,14 Days,Soybeans,Above Ground",ANSM: User Collected,TAIET: 14 Days,TAXA: Soybeans,TISTY: Above Ground,NUMBER,c5952781-5a7c-4640-ac65-04a4abf8ef66,6fe33fe7-1709-40d7-aeaf-57882701ac41,2c279f57-4a8f-5796-8d9d-c602e2beb427,2022_JAKASK_SBAA0457_ASRAtomwiseCompounds_1,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,,5050216,,,,,,,,,,,4,587435,12249,"Fungicide MON 59148 Application Rate (ppm) 500 Timing of Treatment Application Relative to Inoculum Application Date 2 days before inoculation HR Application Method Hand Application METHOD Application Volume 1 GAL_PER_AC Microorganisms PHAKPA Applied Concentration of Inoculum Carrier - Propagule per Milliliter 100000 PROP_PER_ML Application Rate - Inoculum Carrier in Count Per Experimental Units 2 ML_PER_EU Inoculation Relative to Days After Planting 14 Days DAY,
Fungicide 4% Acetone Application Rate (ppm) 40000 Timing of Treatment Application Relative to Inoculum Application Date 2 days before inoculation HR Application Method Hand Application METHOD Application Volume 1 GAL_PER_AC Microorganisms PHAKPA Applied Concentration of Inoculum Carrier - Propagule per Milliliter 100000 PROP_PER_ML Application Rate - Inoculum Carrier in Count Per Experimental Units 2 ML_PER_EU Inoculation Relative to Days After Planting 14 Days DAY",FALSE,,,,,,,,,,,,,,,,,,,,rcb,RCB BLUE,3883
Plant Biotechnology,163439,2022_JAKASK_SBAA0457_ASRAtomwiseCompounds_1 L01,a57b90c1-90ae-49ba-8d31-37fb46d784d5,User Collected,JAKASK,2022-03-16T15:38:42Z,Primary Business,5050261,SET_ENTRY,C5972-I2,en-US,80,INFAPPDT,PCT,80,"User Collected,14 Days,Soybeans,Above Ground",ANSM: User Collected,TAIET: 14 Days,TAXA: Soybeans,TISTY: Above Ground,NUMBER,c3c1d48c-a32c-43e3-b2cd-23b673130135,6fe33fe7-1709-40d7-aeaf-57882701ac41,2c279f57-4a8f-5796-8d9d-c602e2beb427,2022_JAKASK_SBAA0457_ASRAtomwiseCompounds_1,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,,5050261,,,,,,,,,,,9,587440,12249,"Fungicide BCS-DM10605,
Application Rate (ppm) 50,
Timing of Treatment Application Relative to Inoculum Application Date 2 days before inoculation HR,
Application Method Hand Application METHOD,
Application Volume 1 GAL_PER_AC,
Microorganisms PHAKPA,
Applied Concentration of Inoculum Carrier - Propagule per Milliliter 100000 PROP_PER_ML,
Application Rate - Inoculum Carrier in Count Per Experimental Units 2 ML_PER_EU,
Inoculation Relative to Days After Planting 14 Days DAY",FALSE,Fungicide,BCS-DM10605,,,,,,,,,,,,,,,,,,rcb,RCB BLUE,12684
Plant Biotechnology,163439,2022_JAKASK_SBAA0457_ASRAtomwiseCompounds_1 L01,568f64cc-3872-469e-b60c-f614429639d0,User Collected,JAKASK,2022-03-16T15:21:26Z,Primary Business,5050192,SET_ENTRY,C5972-I2,en-US,10,DSP,PCT,10,"User Collected,14 Days,Soybeans,Above Ground",ANSM: User Collected,TAIET: 14 Days,TAXA: Soybeans,TISTY: Above Ground,NUMBER,2cac12db-bf43-4dbd-9f73-ac8481406b61,6fe33fe7-1709-40d7-aeaf-57882701ac41,2c279f57-4a8f-5796-8d9d-c602e2beb427,2022_JAKASK_SBAA0457_ASRAtomwiseCompounds_1,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,,5050192,,,,,,,,,,,1,587432,12249,"Fungicide 7969-246,
Application Rate (ppm) 10,
Timing of Treatment Application Relative to Inoculum Application Date 2 days before inoculation HR,
Application Method Hand Application METHOD,
Application Volume 1 GAL_PER_AC,
Microorganisms PHAKPA,
Applied Concentration of Inoculum Carrier - Propagule per Milliliter 100000 PROP_PER_ML,
Application Rate - Inoculum Carrier in Count Per Experimental Units 2 ML_PER_EU,
Inoculation Relative to Days After Planting 14 Days DAY",FALSE,Fungicide,7969-246,,,,,,,,,,,,,,,,,,rcb,RCB BLUE,3883
Plant Biotechnology,163439,2022_JAKASK_SBAA0457_ASRAtomwiseCompounds_1 L01,7242aedb-f8c7-410e-91a5-29bc4e8e6578,User Collected,JAKASK,2022-03-16T15:33:22Z,Primary Business,5050215,SET_ENTRY,C5972-I2,en-US,100,DSP,PCT,100,"User Collected,14 Days,Soybeans,Above Ground",ANSM: User Collected,TAIET: 14 Days,TAXA: Soybeans,TISTY: Above Ground,NUMBER,5c90882d-fc34-4e88-a111-31ef9a903cbc,6fe33fe7-1709-40d7-aeaf-57882701ac41,2c279f57-4a8f-5796-8d9d-c602e2beb427,2022_JAKASK_SBAA0457_ASRAtomwiseCompounds_1,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,,5050215,,,,,,,,,,,4,587435,12249,"Fungicide MON 59148 Application Rate (ppm) 500 Timing of Treatment Application Relative to Inoculum Application Date 2 days before inoculation HR Application Method Hand Application METHOD Application Volume 1 GAL_PER_AC Microorganisms PHAKPA Applied Concentration of Inoculum Carrier - Propagule per Milliliter 100000 PROP_PER_ML Application Rate - Inoculum Carrier in Count Per Experimental Units 2 ML_PER_EU Inoculation Relative to Days After Planting 14 Days DAY,
Fungicide 4% Acetone Application Rate (ppm) 40000 Timing of Treatment Application Relative to Inoculum Application Date 2 days before inoculation HR Application Method Hand Application METHOD Application Volume 1 GAL_PER_AC Microorganisms PHAKPA Applied Concentration of Inoculum Carrier - Propagule per Milliliter 100000 PROP_PER_ML Application Rate - Inoculum Carrier in Count Per Experimental Units 2 ML_PER_EU Inoculation Relative to Days After Planting 14 Days DAY",FALSE,,,,,,,,,,,,,,,,,,,,rcb,RCB BLUE,3883
Plant Biotechnology,163439,2022_JAKASK_SBAA0457_ASRAtomwiseCompounds_1 L01,749ff068-62a0-4a8c-927d-db8b1d73356f,User Collected,JAKASK,2022-03-16T15:37:45Z,Primary Business,5050250,SET_ENTRY,C5972-I2,en-US,90,INFAPPDT,PCT,90,"User Collected,14 Days,Soybeans,Above Ground",ANSM: User Collected,TAIET: 14 Days,TAXA: Soybeans,TISTY: Above Ground,NUMBER,f2e99499-4d8e-4f3c-90a2-83e3d3f8961c,6fe33fe7-1709-40d7-aeaf-57882701ac41,2c279f57-4a8f-5796-8d9d-c602e2beb427,2022_JAKASK_SBAA0457_ASRAtomwiseCompounds_1,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,,5050250,,,,,,,,,,,8,587439,12249,"Fungicide BCS-DM10648,
Application Rate (ppm) 200,
Timing of Treatment Application Relative to Inoculum Application Date 2 days before inoculation HR,
Application Method Hand Application METHOD,
Application Volume 1 GAL_PER_AC,
Microorganisms PHAKPA,
Applied Concentration of Inoculum Carrier - Propagule per Milliliter 100000 PROP_PER_ML,
Application Rate - Inoculum Carrier in Count Per Experimental Units 2 ML_PER_EU,
Inoculation Relative to Days After Planting 14 Days DAY",FALSE,Fungicide,BCS-DM10648,,,,,,,,,,,,,,,,,,rcb,RCB BLUE,12684
Plant Biotechnology,163439,2022_JAKASK_SBAA0457_ASRAtomwiseCompounds_1 L01,8b57b2c5-92ab-4161-8ade-89f465bca7c0,User Collected,JAKASK,2022-03-16T15:35:34Z,Primary Business,5050229,SET_ENTRY,C5972-I2,en-US,90,DSP,PCT,90,"User Collected,14 Days,Soybeans,Above Ground",ANSM: User Collected,TAIET: 14 Days,TAXA: Soybeans,TISTY: Above Ground,NUMBER,7a5e14b7-1f70-4667-bd72-d2da7e777aa6,6fe33fe7-1709-40d7-aeaf-57882701ac41,2c279f57-4a8f-5796-8d9d-c602e2beb427,2022_JAKASK_SBAA0457_ASRAtomwiseCompounds_1,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,,5050229,,,,,,,,,,,5,587436,12249,"Fungicide BCS-DJ63944,
Application Rate (ppm) 50,
Timing of Treatment Application Relative to Inoculum Application Date 2 days before inoculation HR,
Application Method Hand Application METHOD,
Application Volume 1 GAL_PER_AC,
Microorganisms PHAKPA,
Applied Concentration of Inoculum Carrier - Propagule per Milliliter 100000 PROP_PER_ML,
Application Rate - Inoculum Carrier in Count Per Experimental Units 2 ML_PER_EU,
Inoculation Relative to Days After Planting 14 Days DAY",FALSE,Fungicide,BCS-DJ63944,,,,,,,,,,,,,,,,,,rcb,RCB BLUE,3883
Plant Biotechnology,163439,2022_JAKASK_SBAA0457_ASRAtomwiseCompounds_1 L01,274e4e7f-3253-4b76-ae3e-ccfadf384c5c,User Collected,JAKASK,2022-03-16T15:29:48Z,Primary Business,5050212,SET_ENTRY,C5972-I2,en-US,90,DSP,PCT,90,"User Collected,14 Days,Soybeans,Above Ground",ANSM: User Collected,TAIET: 14 Days,TAXA: Soybeans,TISTY: Above Ground,NUMBER,2936776f-4267-4422-8278-0e10ba4aa877,6fe33fe7-1709-40d7-aeaf-57882701ac41,2c279f57-4a8f-5796-8d9d-c602e2beb427,2022_JAKASK_SBAA0457_ASRAtomwiseCompounds_1,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,,5050212,,,,,,,,,,,3,587434,12249,"No Fungicide,
No Application Rate (ppm),
No Timing of Treatment Application Relative to Inoculum Application Date,
No Application Method,
No Application Volume,
No Microorganisms,
No Applied Concentration of Inoculum Carrier - Propagule per Milliliter,
No Application Rate - Inoculum Carrier in Count Per Experimental Units,
No Inoculation Relative to Days After Planting",FALSE,No Fungicide,,,,,,,,,,,,,,,,,,,rcb,RCB BLUE,3883
Plant Biotechnology,163439,2022_JAKASK_SBAA0457_ASRAtomwiseCompounds_1 L01,5e0af812-bb69-4237-bb99-9b41c471f4f7,User Collected,JAKASK,2022-03-16T15:36:05Z,Primary Business,5050234,SET_ENTRY,C5972-I2,en-US,90,PINC,PCT,90,"User Collected,14 Days,Soybeans,Above Ground",ANSM: User Collected,TAIET: 14 Days,TAXA: Soybeans,TISTY: Above Ground,NUMBER,d88b88e9-c812-4370-a587-603758c11667,6fe33fe7-1709-40d7-aeaf-57882701ac41,2c279f57-4a8f-5796-8d9d-c602e2beb427,2022_JAKASK_SBAA0457_ASRAtomwiseCompounds_1,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,,5050234,,,,,,,,,,,6,587437,12249,"Fungicide BCS-DJ63944,
Application Rate (ppm) 200,
Timing of Treatment Application Relative to Inoculum Application Date 2 days before inoculation HR,
Application Method Hand Application METHOD,
Application Volume 1 GAL_PER_AC,
Microorganisms PHAKPA,
Applied Concentration of Inoculum Carrier - Propagule per Milliliter 100000 PROP_PER_ML,
Application Rate - Inoculum Carrier in Count Per Experimental Units 2 ML_PER_EU,
Inoculation Relative to Days After Planting 14 Days DAY",FALSE,Fungicide,BCS-DJ63944,,,,,,,,,,,,,,,,,,rcb,RCB BLUE,12520
