"Business Unit","Set Id","Set Name","Answer Id","Answer Method","Answer User Id","Answered Time","Attribute","Entity Id","Entity Type Code","Instance Seq","Locale","Localized Value","Question Code","Uom Code","Value","Secondary CSV","Secondary Answer 1","Secondary Answer 2","Secondary Answer 3","Secondary Answer 4","Value Type","Session Id","Activity Id","Answer Subsite Id","Experiment Name","Is User Deactivated","Repetition","User Deactivated Reason","User Deactivated UserId","User Deactivated DateTime","Is Relative Deactivated","Relative Deactivated Reason","Relative Deactivated UserId","Relative Deactivated DateTime","Overall Deactivated Status","Planting Year","Season","Regional Hub","Product Material Id","Product Name","Product Brand","Internal Seed Material Id","Internal Seed Line Code","Internal Seed Pre-Commercial Name","Internal Seed Origin","Internal Seed Barcode","Internal SeedConstructs","Internal Seed Transgenic Events","Entry Id","Entry Deactivation Reason","Entry Rep Number","Subsite Name","Subsite Id","Site Name","Homesite Name","Plot Rep","Plot Column","Plot Range","Plot Id","Treatment Number","Treatment Id","Block Id","Variable 1 Condensed","Variable 1 Blocking Factory Only","Variable 1 Name","Variable 1 Level","Variable 1 Uom","Variable 2 Condensed","Variable 2 Blocking Factory Only","Variable 2 Name","Variable 2 Level","Variable 2 Uom","Variable 3 Condensed","Variable 3 Blocking Factory Only","Variable 3 Name","Variable 3 Level","Variable 3 Uom","Variable 4 Condensed","Variable 4 Blocking Factory Only","Variable 4 Name","Variable 4 Level","Variable 4 Uom","Treatment Description","Experiment Design","Analysis Model","Experiment Id"
"Plant Biotechnology",192416,"MSOY05 L01","906cfeeb-3ee6-4518-ae9a-1d3a4fcf03ee","User Collected","GMPXW","2023-05-22T20:57:24.481000Z","Primary Business","13542072","SET_ENTRY","C5972-I31","en-US","10","DSP","PCT","10","User Collected,14 Days,Soybeans,Leaf","ANSM: User Collected","TAIET: 14 Days","TAXA: Soybeans","TISTY: Leaf","NUMBER",,,,"MSOY05",false,,,,,,,,,false,,,,,,,539893,,,"M-SOY5942<GM_S22657257>","10730033","[""pMON427073""]","[""GM_S22657257""]",13542072,,4,,,,,,,,,1,3791908,56668,"Internal Seed M-SOY5942<GM_S22657257>,
Microorganisms PHAKPA,
Inoculum Concentration 2,000,000 PROP_PER_ML,
Inoculum Application Rate 1 ML_PER_EU",false,"Internal Seed","M-SOY5942<GM_S22657257>",,,,,,,,,,,,,,,,,,"rcb","RCB BLUE",30683
"Plant Biotechnology",192416,"MSOY05 L01","36e418b2-a6bb-447e-b0d8-124c889c4722","User Collected","GMPXW","2023-05-22T20:57:24.219000Z","Primary Business","13542066","SET_ENTRY","C5972-I31","en-US","25","DSP","PCT","25","User Collected,14 Days,Soybeans,Leaf","ANSM: User Collected","TAIET: 14 Days","TAXA: Soybeans","TISTY: Leaf","NUMBER",,,,"MSOY05",false,,,,,,,,,false,,,,,,,539893,,,"M-SOY5942<GM_S22657257>","10730033","[""pMON427073""]","[""GM_S22657257""]",13542066,,1,,,,,,,,,1,3791908,56668,"Internal Seed M-SOY5942<GM_S22657257>,
Microorganisms PHAKPA,
Inoculum Concentration 2,000,000 PROP_PER_ML,
Inoculum Application Rate 1 ML_PER_EU",false,"Internal Seed","M-SOY5942<GM_S22657257>",,,,,,,,,,,,,,,,,,"rcb","RCB BLUE",30683
"Plant Biotechnology",192416,"MSOY05 L01","a9cb3efc-96ee-4600-9a73-1e942153a6a1","User Collected","GMPXW","2023-05-22T20:57:24.290000Z","Primary Business","13542079","SET_ENTRY","C5972-I31","en-US","59","DSP","PCT","59","User Collected,14 Days,Soybeans,Leaf","ANSM: User Collected","TAIET: 14 Days","TAXA: Soybeans","TISTY: Leaf","NUMBER",,,,"MSOY05",false,,,,,,,,,false,,,,,,,539893,,,"M-SOY5942<GM_S22657257>","10730033","[""pMON427073""]","[""GM_S22657257""]",13542079,,8,,,,,,,,,1,3791908,56668,"Internal Seed M-SOY5942<GM_S22657257>,
Microorganisms PHAKPA,
Inoculum Concentration 2,000,000 PROP_PER_ML,
Inoculum Application Rate 1 ML_PER_EU",false,"Internal Seed","M-SOY5942<GM_S22657257>",,,,,,,,,,,,,,,,,,"rcb","RCB BLUE",30683
"Plant Biotechnology",192416,"MSOY05 L01","8709cd23-65e5-4865-9fb5-b022926f068b","User Collected","GMPXW","2023-05-22T20:57:24.283000Z","Primary Business","13542080","SET_ENTRY","C5972-I31","en-US","77","DSP","PCT","77","User Collected,14 Days,Soybeans,Leaf","ANSM: User Collected","TAIET: 14 Days","TAXA: Soybeans","TISTY: Leaf","NUMBER",,,,"MSOY05",false,,,,,,,,,false,,,,,,,539893,,,"M-SOY5942<GM_S22657257>","10730033","[""pMON427073""]","[""GM_S22657257""]",13542080,,1,,,,,,,,,10,3791917,56668,"Internal Seed Null,
Microorganisms PHAKPA,
Inoculum Concentration 2,000,000 PROP_PER_ML,
Inoculum Application Rate 1 ML_PER_EU",false,"Internal Seed","Null","",,,,,,,,,,,,,,,,,"rcb","RCB BLUE",30683
"Plant Biotechnology",192416,"MSOY05 L01","31e0fca6-2457-480c-bbb9-f73cc6cdccf2","User Collected","GMPXW","2023-05-22T20:57:24.286000Z","Primary Business","13542081","SET_ENTRY","C5972-I31","en-US","50","DSP","PCT","50","User Collected,14 Days,Soybeans,Leaf","ANSM: User Collected","TAIET: 14 Days","TAXA: Soybeans","TISTY: Leaf","NUMBER",,,,"MSOY05",false,,,,,,,,,false,,,,,,,539898,,,"AG3555<GM_S22666035>","10730035","[""pMON52051"",""pMON428514""]","[""GM_A19788"",""GM_S22666035""]",13542081,,1,,,,,,,,,2,3791909,56668,"Internal Seed AG3555<GM_S22666035>,
Microorganisms PHAKPA,
Inoculum Concentration 2,000,000 PROP_PER_ML,
Inoculum Application Rate 1 ML_PER_EU",false,"Internal Seed","AG3555<GM_S22666035>",,,,,,,,,,,,,,,,,,"rcb","RCB BLUE",30683
"Plant Biotechnology",192416,"MSOY05 L01","cd62edca-9874-4adb-a4f1-87303bc7892c","User Collected","GMPXW","2023-05-22T20:57:25.043000Z","Primary Business","13542089","SET_ENTRY","C5972-I31","en-US","42","DSP","PCT","42","User Collected,14 Days,Soybeans,Leaf","ANSM: User Collected","TAIET: 14 Days","TAXA: Soybeans","TISTY: Leaf","NUMBER",,,,"MSOY05",false,,,,,,,,,false,,,,,,,539898,,,"AG3555<GM_S22666035>","10730035","[""pMON52051"",""pMON428514""]","[""GM_A19788"",""GM_S22666035""]",13542089,,4,,,,,,,,,2,3791909,56668,"Internal Seed AG3555<GM_S22666035>,
Microorganisms PHAKPA,
Inoculum Concentration 2,000,000 PROP_PER_ML,
Inoculum Application Rate 1 ML_PER_EU",false,"Internal Seed","AG3555<GM_S22666035>",,,,,,,,,,,,,,,,,,"rcb","RCB BLUE",30683
"Plant Biotechnology",192416,"MSOY05 L01","e68a3fe3-b90d-486c-901f-2d335542f682","User Collected","GMPXW","2023-05-22T20:57:25.022000Z","Primary Business","13542083","SET_ENTRY","C5972-I31","en-US","32","DSP","PCT","32","User Collected,14 Days,Soybeans,Leaf","ANSM: User Collected","TAIET: 14 Days","TAXA: Soybeans","TISTY: Leaf","NUMBER",,,,"MSOY05",false,,,,,,,,,false,,,,,,,539898,,,"AG3555<GM_S22666035>","10730035","[""pMON52051"",""pMON428514""]","[""GM_A19788"",""GM_S22666035""]",13542083,,2,,,,,,,,,2,3791909,56668,"Internal Seed AG3555<GM_S22666035>,
Microorganisms PHAKPA,
Inoculum Concentration 2,000,000 PROP_PER_ML,
Inoculum Application Rate 1 ML_PER_EU",false,"Internal Seed","AG3555<GM_S22666035>",,,,,,,,,,,,,,,,,,"rcb","RCB BLUE",30683
"Plant Biotechnology",192416,"MSOY05 L01","525ba996-4a36-4fdc-994d-0e74667bb296","User Collected","GMPXW","2023-05-22T20:57:24.295000Z","Primary Business","13542077","SET_ENTRY","C5972-I31","en-US","6","DSP","PCT","6","User Collected,14 Days,Soybeans,Leaf","ANSM: User Collected","TAIET: 14 Days","TAXA: Soybeans","TISTY: Leaf","NUMBER",,,,"MSOY05",false,,,,,,,,,false,,,,,,,539893,,,"M-SOY5942<GM_S22657257>","10730033","[""pMON427073""]","[""GM_S22657257""]",13542077,,7,,,,,,,,,1,3791908,56668,"Internal Seed M-SOY5942<GM_S22657257>,
Microorganisms PHAKPA,
Inoculum Concentration 2,000,000 PROP_PER_ML,
Inoculum Application Rate 1 ML_PER_EU",false,"Internal Seed","M-SOY5942<GM_S22657257>",,,,,,,,,,,,,,,,,,"rcb","RCB BLUE",30683
"Plant Biotechnology",192416,"MSOY05 L01","9ee0dc5d-4d7f-42c7-b35a-7de785218efa","User Collected","GMPXW","2023-05-22T20:57:25.213000Z","Primary Business","13542092","SET_ENTRY","C5972-I31","en-US","68","DSP","PCT","68","User Collected,14 Days,Soybeans,Leaf","ANSM: User Collected","TAIET: 14 Days","TAXA: Soybeans","TISTY: Leaf","NUMBER",,,,"MSOY05",false,,,,,,,,,false,,,,,,,539898,,,"AG3555<GM_S22666035>","10730035","[""pMON52051"",""pMON428514""]","[""GM_A19788"",""GM_S22666035""]",13542092,,6,,,,,,,,,2,3791909,56668,"Internal Seed AG3555<GM_S22666035>,
Microorganisms PHAKPA,
Inoculum Concentration 2,000,000 PROP_PER_ML,
Inoculum Application Rate 1 ML_PER_EU",false,"Internal Seed","AG3555<GM_S22666035>",,,,,,,,,,,,,,,,,,"rcb","RCB BLUE",30683
"Plant Biotechnology",192416,"MSOY05 L01","596da3d0-5156-45e0-9998-79ab65243722","User Collected","GMPXW","2023-05-22T20:57:24.275000Z","Primary Business","13542075","SET_ENTRY","C5972-I31","en-US","56","DSP","PCT","56","User Collected,14 Days,Soybeans,Leaf","ANSM: User Collected","TAIET: 14 Days","TAXA: Soybeans","TISTY: Leaf","NUMBER",,,,"MSOY05",false,,,,,,,,,false,,,,,,,539893,,,"M-SOY5942<GM_S22657257>","10730033","[""pMON427073""]","[""GM_S22657257""]",13542075,,6,,,,,,,,,1,3791908,56668,"Internal Seed M-SOY5942<GM_S22657257>,
Microorganisms PHAKPA,
Inoculum Concentration 2,000,000 PROP_PER_ML,
Inoculum Application Rate 1 ML_PER_EU",false,"Internal Seed","M-SOY5942<GM_S22657257>",,,,,,,,,,,,,,,,,,"rcb","RCB BLUE",30683
