Row Id,Analysis Config Name,Analysis Configuration,Output,Model Type,Model Scope,Analysis Completed Time,Configuration Execution,Datacut Includes All Blocking Factors,Datacut Blocking Factors Csv,Question Code,Answer Filters Csv,Blocking Factor Values Csv,Treatment Variable,Treatment Factors,Lower CI,Upper CI,Standard Error,Treatment Estimate Value,Unit Of Measure,Separation/Equality Groups,Factor 1 Level,Factor 1 Condensed String,Factor 1 Variable Level Id,Factor 1 Label,Factor 1 Uom Code,Factor 1 Source,Factor 1 Blocking Factor Only,Factor 1 Constructs,Factor 1 Events,Factor 1 Line Code,Factor 1 Origin,Factor 1 Mon Number,Factor 1 Bcs Code,Factor 1 Product Identifier,Factor 2 Level,Factor 2 Condensed String,Factor 2 Variable Level Id,Factor 2  Label,Factor 2  Uom Code,Factor 2  Source,Factor 2  Blocking Factor Only,Factor 2 Constructs,Factor 2 Events,Factor 2 Line Code,Factor 2 Origin,Factor 2 Bcs Code,Factor 2 Mon Number,Factor 2 Product Identifier,Means Blocking Factors,Protocol Id,Protocol Name,Submission Id,Submission Name,Experiment Name,Site Names,Subsite Names,Block Names,Experiment Id,Treatment Number,Block Id
1,SBDW0003_XtendiMax_4,646bd7f36eece1d29b619f8b,module-outputs/2QCH7ugvW7KTac5oonXxV61JBaZ,ANOVA,GLOBAL,2021-05-23T14:01:18.543130581Z,configuration-executions/2QCH5hTZwqApolVhpXPDm2vAe91,TRUE,,HERBIP,"ANSM:User Collected,TATET:21 Days,TAXA:Weeds",,factorLevelId,,78.6584,83.0083,1.3059,100,PCT,a,,"Chemical XTENDIMAX Percent Loading 29 Rate 560 G_AE_HA Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical ROUNDUP_POWERMAX_3 Percent Loading 41.8 Rate 1260 G_AE_HA Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical INTACT Percent Loading 43.2 Rate 0.5 PERCENT_V_V Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical MON51817 Percent Loading 100 Rate 1 PERCENT_V_V Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_STVOSS_ SBDW0003_XtendiMax_4,,,ABUTH,12517,,19205
2,SBDW0003_XtendiMax_4,646bd7f36eece1d29b619f8b,module-outputs/2QCH7ugvW7KTac5oonXxV61JBaZ,ANOVA,GLOBAL,2021-05-23T14:01:18.543130581Z,configuration-executions/2QCH5hTZwqApolVhpXPDm2vAe92,TRUE,,HERBIP,"ANSM:User Collected,TATET:21 Days,TAXA:Weeds",,factorLevelId,,86.1584,90.5083,1.3059,100,PCT,a,,"Chemical MON301945 Percent Loading 35 Rate 560 G_AE_HA Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical ROUNDUP_POWERMAX_3 Percent Loading 41.8 Rate 1260 G_AE_HA Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical MON51817 Percent Loading 100 Rate 1 PERCENT_V_V Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_STVOSS_ SBDW0003_XtendiMax_4,,,ABUTH,12517,,19205
3,SBDW0003_XtendiMax_4,646bd7f36eece1d29b619f8b,module-outputs/2QCH7ugvW7KTac5oonXxV61JBaZ,ANOVA,GLOBAL,2021-05-23T14:01:18.543130581Z,configuration-executions/2QCH5hTZwqApolVhpXPDm2vAe93,TRUE,,HERBIP,"ANSM:User Collected,TATET:21 Days,TAXA:Weeds",,factorLevelId,,88.3251,92.6749,1.3059,100,PCT,a,,"Chemical MON301848 Percent Loading 11 Rate 560 G_AE_HA Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical MON51817 Percent Loading 100 Rate 1 PERCENT_V_V Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_STVOSS_ SBDW0003_XtendiMax_4,,,ABUTH,12517,,19205
4,SBDW0003_XtendiMax_4,646bd7f36eece1d29b619f8b,module-outputs/2QCH7ugvW7KTac5oonXxV61JBaZ,ANOVA,GLOBAL,2021-05-23T14:01:18.543130581Z,configuration-executions/2QCH5hTZwqApolVhpXPDm2vAe94,TRUE,,HERBIP,"ANSM:User Collected,TATET:21 Days,TAXA:Weeds",,factorLevelId,,88.3251,92.6749,1.3059,100,PCT,a,,"Chemical MON119144 Percent Loading 37.5 Rate 560 G_AE_HA Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical ROUNDUP_POWERMAX_3 Percent Loading 41.8 Rate 1260 G_AE_HA Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical INTACT Percent Loading 43.2 Rate 0.5 PERCENT_V_V Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical MON51817 Percent Loading 100 Rate 1 PERCENT_V_V Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_STVOSS_ SBDW0003_XtendiMax_4,,,ABUTH,12517,,19205
5,SBDW0003_XtendiMax_4,646bd7f36eece1d29b619f8b,module-outputs/2QCH7ugvW7KTac5oonXxV61JBaZ,ANOVA,GLOBAL,2021-05-23T14:01:18.543130581Z,configuration-executions/2QCH5hTZwqApolVhpXPDm2vAe95,TRUE,,HERBIP,"ANSM:User Collected,TATET:21 Days,TAXA:Weeds",,factorLevelId,,88.6584,93.0083,1.3059,100,PCT,a,,"Chemical MON301286 Percent Loading 12.4 Rate 560 G_AE_HA Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical ROUNDUP_POWERMAX_3 Percent Loading 41.8 Rate 140 G_AE_HA Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical INTACT Percent Loading 43.2 Rate 0.5 PERCENT_V_V Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical MON51817 Percent Loading 100 Rate 1 PERCENT_V_V Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_STVOSS_ SBDW0003_XtendiMax_4,,,ABUTH,12517,,19205
6,SBDW0003_XtendiMax_4,646bd7f36eece1d29b619f8b,module-outputs/2QCH7ugvW7KTac5oonXxV61JBaZ,ANOVA,GLOBAL,2021-05-23T14:01:18.543130581Z,configuration-executions/2QCH5hTZwqApolVhpXPDm2vAe96,TRUE,,HERBIP,"ANSM:User Collected,TATET:21 Days,TAXA:Weeds",,factorLevelId,,91.6584,96.0083,1.3059,98.33,PCT,ab,,"Chemical ERR10076479-2 Percent Loading 36 Rate 560 G_AE_HA Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical ROUNDUP_POWERMAX_3 Percent Loading 41.8 Rate 1260 G_AE_HA Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical MON51817 Percent Loading 100 Rate 1 PERCENT_V_V Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_STVOSS_ SBDW0003_XtendiMax_4,,,ABUTH,12517,,19205
7,SBDW0003_XtendiMax_4,646bd7f36eece1d29b619f8b,module-outputs/2QCH7ugvW7KTac5oonXxV61JBaZ,ANOVA,GLOBAL,2021-05-23T14:01:18.543130581Z,configuration-executions/2QCH5hTZwqApolVhpXPDm2vAe97,TRUE,,HERBIP,"ANSM:User Collected,TATET:21 Days,TAXA:Weeds",,factorLevelId,,91.9917,96.3416,1.3059,97.67,PCT,abc,,"Chemical ERR10076479-1 Percent Loading 36 Rate 560 G_AE_HA Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical ROUNDUP_POWERMAX_3 Percent Loading 41.8 Rate 1260 G_AE_HA Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical MON51817 Percent Loading 100 Rate 1 PERCENT_V_V Relative Rate 1.0x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_STVOSS_ SBDW0003_XtendiMax_4,,,ABUTH,12517,,19205
8,SBDW0003_XtendiMax_4,646bd7f36eece1d29b619f8b,module-outputs/2QCH7ugvW7KTac5oonXxV61JBaZ,ANOVA,GLOBAL,2021-05-23T14:01:18.543130581Z,configuration-executions/2QCH5hTZwqApolVhpXPDm2vAe98,TRUE,,HERBIP,"ANSM:User Collected,TATET:21 Days,TAXA:Weeds",,factorLevelId,,91.9917,96.3416,1.3059,95,PCT,bcd,,"Chemical MON119144 Percent Loading 37.5 Rate 280 G_AE_HA Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical ROUNDUP_POWERMAX_3 Percent Loading 41.8 Rate 630 G_AE_HA Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical INTACT Percent Loading 43.2 Rate 0.25 PERCENT_V_V Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical MON51817 Percent Loading 100 Rate 0.5 PERCENT_V_V Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_STVOSS_ SBDW0003_XtendiMax_4,,,ABUTH,12517,,19205
9,SBDW0003_XtendiMax_4,646bd7f36eece1d29b619f8b,module-outputs/2QCH7ugvW7KTac5oonXxV61JBaZ,ANOVA,GLOBAL,2021-05-23T14:01:18.543130581Z,configuration-executions/2QCH5hTZwqApolVhpXPDm2vAe99,TRUE,,HERBIP,"ANSM:User Collected,TATET:21 Days,TAXA:Weeds",,factorLevelId,,93.3251,97.6749,1.3059,94.17,PCT,cde,,"Chemical MON301286 Percent Loading 12.4 Rate 280 G_AE_HA Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical ROUNDUP_POWERMAX_3 Percent Loading 41.8 Rate 70 G_AE_HA Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical INTACT Percent Loading 43.2 Rate 0.25 PERCENT_V_V Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical MON51817 Percent Loading 100 Rate 0.5 PERCENT_V_V Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_STVOSS_ SBDW0003_XtendiMax_4,,,ABUTH,12517,,19205
10,SBDW0003_XtendiMax_4,646bd7f36eece1d29b619f8b,module-outputs/2QCH7ugvW7KTac5oonXxV61JBaZ,ANOVA,GLOBAL,2021-05-23T14:01:18.543130581Z,configuration-executions/2QCH5hTZwqApolVhpXPDm2vAe100,TRUE,,HERBIP,"ANSM:User Collected,TATET:21 Days,TAXA:Weeds",,factorLevelId,,93.6584,98.0083,1.3059,92.5,PCT,def,,"Chemical MON301945 Percent Loading 35 Rate 280 G_AE_HA Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical ROUNDUP_POWERMAX_3 Percent Loading 41.8 Rate 630 G_AE_HA Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML,
Chemical MON51817 Percent Loading 100 Rate 0.5 PERCENT_V_V Relative Rate 0.5x NUMBER Application Timing 4-6"" TEXT Application Method Broadcast - Foliar METHOD Application Volume 15 GAL_PER_AC Mix Size 45 ML",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_STVOSS_ SBDW0003_XtendiMax_4,,,ABUTH,12517,,19205
